Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u57	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u58	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	PP	Partido Popular	Opposition	Centre-right to right	ElviraVelascoMorillo	Velasco Morillo, Elvira	F	1968	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u59	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u60	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	PP	Partido Popular	Opposition	Centre-right to right	ElviraVelascoMorillo	Velasco Morillo, Elvira	F	1968	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u61	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u62	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	DanielVicenteViondi	Vicente Viondi, Daniel	M	1975	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u63	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u64	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u65	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	EH Bildu	Euskal Herria Bildu	Opposition	Centre-left to left	OskarMatuteGarcíaDeJalón	Matute García De Jalón, Oskar	M	1972	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u66	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u67	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	UP	Unidas Podemos	Coalition	Left	PilarGarridoGutiérrez	Garrido Gutiérrez, Pilar	F	1966	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u68	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u69	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	PSC-PSOE	Partido Socialista de Cataluya - Partido Socialista Obrero Español	-	Centre-left	SoniaGuerraLópez	Guerra López, Sonia	F	1977	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u70	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u71	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Opposition	Centre-right to right	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u72	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES-en_2021-10-19-CD211019	ParlaMint-ES_2021-10-19-CD211019.u73	Plenary session 125 (2021-10-19)	2021-10-19	Lower house	Legislatura XIV	Sesión plenaria núm. 125	-	2021-10-19	-	COVID	English	Regular	MP	notMinister	-	-	-	-	CarlosGarcíaAdanero	García Adanero, Carlos	M	1967	
