Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e18	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	-	-	-	-	-	-	-	-	-	-
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1467	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.JTS	Sanner, Jan Tore	M	1965	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1476	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1493	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	Sp	Senterpartiet	Coalition	Centre	person.LAPB	Brekk, Lars Peder	M	1955	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1502	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.MAM	Marthinsen, Marianne	F	1980	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1509	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	H	Høyre	-	Centre-right	person.ES	Solberg, Erna	F	1961	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1522	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	A	Arbeiderpartiet	Coalition	Centre-left	person.HPED	Pedersen, Helga	F	1973	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1527	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1533	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1541	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1568	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1583	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1600	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1605	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.SIVJ	Jensen, Siv	F	1969	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1610	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1650	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1668	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1686	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1713	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1732	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
ParlaMint-NO-en_2012-10-05	ParlaMint-NO_2012-10-05.ana.ud2125e1824	Hansard from meeting in the Norwegian Parliament, term 2009-2013, Session 2012-2013, Sitting day 2012-10-05	2012-10-05	Unicameralism	Term 2009-2013	Session 2012-2013	-	Sitting day 2012-10-05	-	Reference	English	Chairperson	MP	notMinister	H	Høyre	-	Centre-right	person.PKF	Foss, Per-Kristian	M	1950	
