Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-155	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-158	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18451520	Redar, Lawen	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-3Y1K4gdD74gTvXb6aXv8ZZ	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-163	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q4769498	Qarlsson, Annika	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-Nvo9JR5gcwAjFJrdbWW9pn	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-170	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	C	Centerpartiet	-	Centre to centre-right	Q4769498	Qarlsson, Annika	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-173	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	MP	Miljöpartiet	Coalition	Centre-left	Q4979119	Skog, Karolina	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-176	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q19977330	Westerén, Hanna	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-179	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-182	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q19977330	Westerén, Hanna	F	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-184	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2016-09-22-prot-201617--7	i-1227b078b36de96c-187	Swedish parliamentary corpus ParlaMint-SE-en, 2016/17 nr. 7	2016-09-22	Unicameralism	2016/17	-	-	2016/17--7	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q30000227	Gustbée, Roland	M	-	
