Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-169	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-174	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q18202336	Bladelius, Yasmine	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-175	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-176	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6247957	Wykman, Niklas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-180	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-185	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q6247957	Wykman, Niklas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-187	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q5711551	Eneroth, Tomas	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-190	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4951217	Hedin, Roza Güclü	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-195	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-198	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	S	Socialdemokraterna	Coalition	Centre-left	Q4951217	Hedin, Roza Güclü	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-200	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q3055916	Baylan, Ibrahim	M	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-203	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4940303	Bouveng, Helena	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-206	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-209	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	MP	notMinister	M	Moderaterna	-	Centre-right	Q4940303	Bouveng, Helena	F	-	
ParlaMint-SE-en_2017-10-26-prot-201718--24	i-1ff80da0a15d4325-211	Swedish parliamentary corpus ParlaMint-SE-en, 2017/18 nr. 24	2017-10-26	Unicameralism	2017/18	-	-	2017/18--24	-	Reference	English	Regular	notMP	Minister	S	Socialdemokraterna	Coalition	Centre-left	Q18177071	Regnér, Åsa	F	-	
